,winery,description,points,price
2718,Testarossa,"Earthy aromas of rust, loam and dark red plum meet with scents of charred oak on the nose of this bottling. There is a bright acidity to the sip, but it surrounds a darker core of cran-raspberry fruit, with peppery spice and well-integrated rosewater flavors showing toward the finish.",91,65.0
2719,Undurraga,"Tight-grained oak, vanilla, graphite, plum and cassis aromas are attractive as a whole. This feels good but a bit tartaric and scratchy. Ripe black-fruit flavors are pure Peumo, while touches of licorice and chocolate add to the fun. A saturated finish tastes of blackberry, black currant and peppery spice. Drink through 2022.",91,25.0
2720,Georges Duboeuf,"Soft and round, this has a gentle white fruit flavor and a hint of spice. The acidity is open and very easy, finishing with a fragrant finish.",84,
2721,Georges Duboeuf,"With a light structure and some minerality, this is an attractive, textured wine. Flavors of apples, citrus fruits and a note of caramel pair with its zesty character that lends an attractive finishing bite.",84,13.0
2722,DFJ Vinhos,"Cool climate Alicante Bouschet from the Lisboa region has a strongly perfumed character as well as intense fruitiness. The structure, while offering firm tannins, is balanced with the acidity that gives a crisp aftertaste. It all makes for a firm wine with a chance to age. Drink from late 2018.",89,15.0
2723,Montes,"On first take, this hefty Carmenère smells almost entirely of massive oak and related vanilla and maple, although airing calms things down. A dense, heavily oaked palate is extracted and full in body. Charred oak and coffee flavors cover blackberry and cassis notes, while this is flush on a huge finish.",89,23.0
2724,Trapiche,"With floral aromas, toasty oak notes and solid berry fruit, this bottling is the best among Trapiche's 2007 single-vineyard Malbecs. The palate features smoky berry fruit but also high acidity and some scour. Fortunately it's also layered and structured. Will do best with meats and fatty foods. Drink now through 2015.",90,50.0
2725,Trapiche,"Potent smelling, with black pepper, lots of oak and true berry fruit aromas. The palate is a bit pointed and high in acidity, while the flavors of raspberry, currants and red plum are solid. Finishes a little jagged and acidic, but at worst that staunch acidity will keep it alive for years to come. Hold until at least 2011.",89,50.0
2726,Williams Selyem,"So rich and powerful in fruit. Blackberry and cherry jam, mocha, cola, tobacco, black pepper, anise, licorice, beef jerky, it's all there, on steroids.",89,50.0
2727,Fess Parker,"This clonal study explores the earthy side of the grape, with mulberry and dark cranberry fruit running alongside damp oak forest and slightly funky chaparral aromas. Lively flavors consume the palate quickly with tart cherry and peppery spice, all lifted by mouthwatering acidity.",91,58.0
2728,Fess Parker,"This refreshing and crisply designed Viognier conveys restrained aromas of white peach and vanilla. The palate shows yellow melon and creamy peach, but with a razor-sharp edge of acidity and a compelling chalky texture. The acid sizzles into the finish.",91,28.0
2729,Santa Ema,"Cherry aromas are dilute, and overall the bouquet on this Leyda Pinot Noir is limited. Tart, hard, medicinal red-berry flavors are nondistinct and oaky. The finish is raw, hot and lacking in fruit.",82,15.0
2730,Gary Farrell,"To tame Durell is no easy feat—indeed at first this wine exudes matchstick and robustness on the nose and palate. But tameness comes in the form of lemon and grapefruit pith, brightening the load, with a sinewy structure supporting its core. The finish is succulent in honey and stone. Drink now through 2020.",96,55.0
2731,Louis Jadot,"This rich, wood-fermented and aged wine is very ripe, aromatic and smoothly textured. The terroir reveals itself in a mineral edge from the chalk soil that also comes into play in the tight acidity. Full in the mouth, it's ready to drink now, but will be better from 2016.",89,28.0
2732,Concha y Toro,"Aromas of bland citrus, oyster shell and pool water are not stout or convincing. This basic SB feels flat, while flavors of bell pepper and salted pickle finish light, bland and green.",83,11.0
2733,Georges Duboeuf,"The cru wine is tight, missing out on what should be its fruitiness. It has some tough dry tannins that are not showing signs of softening.",83,22.0
2734,Undurraga,"A hard-driving, ultragreen nose oozes pure bell pepper. A plump palate with cutting lime-like acidity adds zest and sharpness to vegetal citrus flavors. Packed to the brim with pyrazines, this is about as green as SB gets.",83,22.0
2735,DFJ Vinhos,A selection of old vines has given an intensely structured wine. It is packed both with tannins and concentrated black fruits. The density of the ripe fruits show how well the wine is maturing. Drink from 2017.,91,50.0
2736,Casa Santos Lima,"The southern coastal region of Algarve is better known for beaches than for wine. This blend of Touriga Nacional and Syrah with long wood aging comes from the east of the region and shows great warmth as well as black plum fruit flavors. The juicy fruitiness is balanced by the youthful structure, showing the aging potential of the wine. Drink from 2017.",90,35.0
2737,Albert Bichot,"Attractive, ripe and fruity, this has a light citrus texture and full-throated acidity. Apples, bright fruit and a ripe mouthfeel give it a ready-to-drink character.",87,
2738,Kunde,"Too oaky, with vanilla, smoky toothpick influences leading to sweet-and-sour pineapple flavors. This problem has plagued Kunde's reserve Chard for the last several vintages.",84,35.0
2739,Maryhill,"As is most often the case with Sangiovese, this comes across as a pleasant, rather generic red wine that could be almost anything. The fruit tastes of light cherry and plum, with a rather sour finish. Tannins are earthy and there is a hint of sweaty saddle as well.",83,32.0
2740,Jean-Luc and Paul Aegerter,"This wine's ripe, mineral texture balances its yellow and white stone fruit flavors. It has a toasty, caramel character, giving extra richness. Drink from late 2017.",88,19.0
2741,Concha y Toro,"Popcorn, mustard, pickle brine and a heavy blast of oak create a barrel-driven bouquet. This is acidic and juicy on the palate, but also resiny. Flavors of briny citrus, nectarine and raw oak finish long and woody, with a cidery aftertaste.",86,50.0
2742,Columbia Crest,"Half of this wine is Merlot, with the rest Cabernet Franc, Malbec, Petit Verdot, Cabernet Sauvignon and Syrah. Blueberry, coffee and vanilla aromas are followed by sultry plum flavors speckled with barrel accents before a mocha-flavored finish.",88,12.0
2743,Wines & Winemakers,"Light, fruity and off dry, this is a fresh and crisp wine. It has sweetened lemon juice flavors that are cut by intense, young acidity. Balanced and ready to drink now.",85,10.0
2744,Casa Santos Lima,"Solid tannins, juicy fruits and considerable acidity dominate this wine. It has a fresh character—dry at the back while showing some potential for aging. Spice and final refreshing acidity complete the picture. Drink from 2016.",85,
2745,Casa Santos Lima,"This is a soft, fresh and fruity wine. It has red berry flavors that are gently lifted by fine tannins. Acidity and a juicy aftertaste complete an attractive, ready-to-drink wine.",85,
2746,Chanson Père et Fils,"This wine offers fresh lemon and a lightly creamy fruitiness. It is floral in character with attractive acidity. Fruity, with a crisp citrus tang at the end, it is ready to drink.",85,24.0
2747,Trapiche,"Dry oak, pepper and wood resin are prominent on the bouquet, which also brings minty black fruit scents and finally a pinch of sawdust. The palate is boosted by firm acids and tannins, while the flavors of baked berry and black plum are driving. A lot of oak and bite here, but also plenty of dark fruit.",87,15.0
2748,Trapiche,"Smoky and leathery on the nose, with earthy blackberry aromas, tobacco and tree bark aromas. The palate runs sort of heavy, tannic and raw, with grapey flavors of black currant and roasted plum. A chunky, earthy, roasted style of Cab to drink now.",87,15.0
2749,DFJ Vinhos,"A wine that emphasizes the black currant acidity and firm tannins of Cabernet Sauvignon. The fruit layers acidity, wood and some herbs. Age for another year.",87,10.0
2750,Fess Parker,"There's a wild array of aromas to this appellation blend, including wild mint and huckleberries. It's bright red fruit at first sip, then the wine downshifts into cloves, wet asphalt and anise. A direct but clean and very appealing selection, ready for enjoyment now.",91,30.0
2751,Jean-Luc and Paul Aegerter,"While there are still plenty of firm tannins, the wine also is now showing its red berry fruits and enticing texture. Great acidity cuts through the structure, giving freshness to the naturally dense character of this Grand Cru wine. It's for aging, but not for too long, so drink from 2017.",91,184.0
2752,Jean-Luc and Paul Aegerter,"Well structured, this combines ripe red fruits with a firm texture. It has a good concentration and a mineral, terroir-driven character that shows through in its dry core. The juicy acidity at the end gives a lift, but the wine needs to age. Drink from 2017.",91,74.0
2753,Jean-Luc and Paul Aegerter,"Every Burgundy merchant seems to have a Clos de Vougeot. The Aegerter's version is relatively light, as much fruit as tannins even while it is young. Berry fruits comes forward, while the layer of tannin is in a supporting role. It's a solid wine, not one that has a long future. Drink from 2018.",91,369.0
2754,Lynmar,"Block 10 was made with 25% whole cluster fermentation, the result bold and impressive in cola cherry and soft baking spices, an intriguing floral note akin to geranium or gardenia highlighting the palate. Midway, expect an expansive opening of the wine, before notes of cocoa and espresso delve in.",91,70.0
2755,Georges Duboeuf,"Georges Duboeuf follows this cru estate, owned by the Meziat family, and produces the wine. It is a ripe wine, shot through with young, juicy acidity. There is structure as well as minerality to give the wine shape. Drink from late 2017.",89,19.0
2756,Undurraga,"Uncomplicated berry and plum aromas are easy to process. This everyday Cabernet feels complete despite showing rubbery grabby tannins. Lightly herbal plum and berry flavors finish tight, bright and fresh.",89,18.0
2757,Bründlmayer,"This wine has concentration, but it also demonstrates great elegance in its crisp acidity, lemon-zest-like texture and bright fruitiness. It's a wine to age for several years, but it can also be consumed soon.",92,55.0
2758,Chehalem,"A special, 25th anniversary bottling, this is a knockout. Dark, smoky and tannic, this has a deep, black fruit flavor, threaded with rich streaks of licorice, coffee and chocolate. Further detail comes in the form of peppery herb. This is thick, muscular and integrated.",92,69.0
2759,Concha y Toro,"This iconic Chilean Cabernet is firm on the nose, with cola, cassis, cherry and leather aromas. It's racy, juicy and powerful, with flavors of cassis, blackberry, plum, nutmeg and coffee that swim in harmony. This is big, but also elegant and clean. Drink through 2019.",92,95.0
2760,Siduri,"Very big, very rich, almost a fruit store in itself. Offers a wild ride of intensely ripe, extracted cherries, currants, blackberries and blueberries that taste like jam spread on buttery toast, then sprinkled with cinnamon and cocoa. Also fairly tannic and full-bodied. Lacks some delicacy, but delicious and dramatic.",91,49.0
2761,Siduri,"Siduri has a good track record with this vineyard. The ‘07 is not a longterm ager, but if you're looking for a complex Russian River Pinot for now and through 2011, this will please. Dry and silky and complex, it has fully ripened cherry, currant, cola, rose petal and spice flavors.",91,44.0
2762,Williams Selyem,"Showing impeccable elegance, this is totally dry and tart in acidity, with a quietly tannic astringency that suggests pairing with lamb or steak. While it's not an ager, the cola, pomegranate, cherry and mushroom flavors are classic and complex.",92,52.0
2763,Fess Parker,"Blended with its Rhône cousins, Marsanne and Grenache Blanc, this is a very rich, soft white wine. It's flamboyant in orange, apricot, peach, buttered toast and vanilla custard flavors that finish sweet. Could be drier and better structured.",86,24.0
2764,Gary Farrell,"Very ripe, sweet and oaky, tasting almost like a dessert wine, or at least a melted cherry and plum pastry. Delicious in an obvious way, but lacks complexity, and doesn't seem like an ager. Drink up.",86,50.0
2765,Gary Farrell,"This structured rosé packs a punch in tannins at first, but is balanced and dry. Refreshing bursts of wild berries and savory herb lead to a smooth and exotic finish. The subtle power reflects the vintage and Green Valley-sourced vineyards.",89,28.0
2766,Wines & Winemakers,"This richly structured wine comes from the the state-owned Companhia das Lezirias, the largest estate in Portugal. With equestrian events, wine, olive oil and an ecological sanctuary just east of Lisbon, the property merits a visit. Named for the barn owl that nests in estate forests, the wine is opulent, dense and packed with tannins and ripe black fruits. Give it time, at least until late 2018.",93,30.0
2767,Montes,"After a dark, earthy, leathery opening, this blend of Carignan, Grenache and Mourvèdre presents itself as a lively, bright wine with dark fruit flavors, leather, dry spice, oak and a touch of heat on the finish. This is a serious blend with a chewy body and no shortage of power. Drink now–2017.",90,60.0
2768,Trapiche,"Fairly large, dark and extracted, but also lush and rich, with aromas of raisin and stewed blackberry. The palate is rich to the point of almost being heavy, while the flavors of blackberry and roasted black plum are mildly leathery and salty. Nice, big, meaty and tasty for the price.",88,12.0
2769,Testarossa,"A little gritty in texture, and the rawness is compounded by black pepper tartness. Yet there's a huge, succulent core of black cherry fruit, and the wine is perfectly dry and acidic. An interesting Pinot, one to stash in the cellar and see what happens.",88,56.0
2770,V. Sattui,"Here's a sweet dessert wine that's a pleasure to drink after a meal, with little fruit-based filo pastries. Made in the traditional solera style, the wine is rich in raspberry cream, chocolate and cherry liqueur flavors, and finishes clean and spicy.",88,42.0
2771,V. Sattui,"The winery pulled out all the stops on this Cabernet-based Bordeaux blend, yet the wine is so tannic and sharp now. Shows massively extracted black currant and oak flavors that run deep and long in the finish. Who knows what this wine might do in 10–15 years, but it's a roll of the dice.",91,75.0
2772,Gary Farrell,"A big, strong Chardonnay, powerfully extracted with pineapple and orange jam flavors, with lots of zingy acidity that makes the mouth water. There's a touch of buttered toast from oak. A little brittle and hard now, so give it two to three years in the bottle to soften and mellow.",90,35.0
2773,V. Sattui,"There's a rich vein of green olives in this wine, alongside the blackberries, cocoa and toast. With smooth, brisk tannins, it's best opened over the next 2–3 years.",90,35.0
2774,Louis Latour,"With its mineral character, freshness and tight, taut structure, this is a promising wine, flavors of green fruits giving some richness but more crispness.",89,
2775,Louis Latour,"Weighty yes, and with a full-on richness, but also touched with a surprising amount of minerality. The flavors range from the almost tropical to apple-fresh acidity. It's full, but certainly balanced by its acidity.",89,
2776,Maryhill,"Aromas of fresh raspberries, plum and spice provide intrigue, with some reductive notes providing a bit of distraction. The plum and spice flavors are broad in feel, needing more acidity to tighten them up.",87,26.0
2777,Louis Latour,"This wine is soft and round, with attractive acidity as well as a light sense of structure from tannins. It features considerable acidity along with wild strawberry flavors that keep it lifted and aromatic. Drink from 2017.",91,90.0
2778,Robert Mondavi,"With a soft, heavy mouthfeel and hot, candied raspberry and cherry flavors, this Reserve Pinot is a disappointment. It's okay, but tastes like a simple little Pinot Noir for drinking now.",86,60.0
2779,Santa Ema,"Sweet as sin on the nose, with a ton of barrel-driven spice, resin and vanilla. The palate is full, creamy and resiny in feel, with more oak than anything on the flavor profile. There's baked apple and spice too, while the finish is severely oaky.",86,24.0
2780,Concha y Toro,"Crisp plum and berry aromas are a little sharp while the oak element on the nose is drying. The palate is tight and fairly high in acidity, yielding herbal, minty flavors of raspberry and red plum. Short and solid on the finish, but clean and good overall.",86,12.0
2781,Kunde,"Dry and layered in crisp melon, lime and lemon zest, this aromatic SB is complex and kissed by honeysuckle. It's a natural go-to for shellfish, especially Hog Island oysters from the coast near Point Reyes. A warm goat cheese salad would also do nicely.",89,17.0
2782,Iron Horse,"Iron Horse's estate Chard is a remarkably consistent wine. Never overoaked, superripe or heavy, it always has an elegant minerality. The '06, from a coolish vintage, is flavored with green apples, Meyer lemons and Bosc pears.",91,28.0
2783,Williams Selyem,"This bottling from esteemed producer Williams Selyem is a rich, concentrated wine, brimming with savory flavors of wild cherries and raspberries, red currants, milk chocolate, cloves and black pepper. The extraordinary tannins are smooth and as fine as velvet.",91,48.0
2784,Testarossa,"Hearty and thick aromas of raspberry, mulberry and sugar plums meet with a touch of bay leaf on the nose of this bottling from a famous vineyard. Woody and dark red fruits show on the sip, with juniper and sour cherry flavors most prominent.",91,65.0
2785,Iron Horse,"Drier and leaner than the 2005, this is a fancy Chardonnay marked by crisp structure and minerality, rather than extreme lushness. Yet you'll find an overlay of toasty oak and fine flavors of green apples and pineapples that satisfy the fruit tooth. The alcohol is under 14%, and the finish is totally dry.",90,45.0
2786,Fess Parker,"There's a palate-warming generosity to this single-vineyard Pinot, a result of its softly balanced texture and the smoothness of new oak. Luxurious flavors of smoky cherries and currants, roasted nuts, molasses and honey taste almost like an energy fruit bar from the health food store. This lovely, supple wine should develop through 2012.",90,58.0
2787,Maryhill,"Though Washington is rarely recognized for its Gewürztraminers, the grape does exceptionally well here, and Celilo in particular has become a treasured hunting ground for winemakers specializing in the grape. This one is a gem: spicy and off-dry, it expands across the palate with authority and precision. Rather than sweetly floral, it leans toward flavors that are sweetly grassy, but lets pretty rose petal highlights fill in the back of the palate.",89,14.0
2788,Chateau Ste. Michelle,"The hot climate of the Cold Creek Vineyard sharpens up the contours of this Chardonnay, which shows more of a classic Washington character. Bright fruit, a mix of apples and peaches and pears, is shot through with streaks of butterscotch from fermentation in new French oak. It's been through 100% malolactic, yet retains some crispness. Polished and full-bodied.",89,20.0
2789,Chateau Ste. Michelle,"Raspberry, cocoa, coffee and vanilla aromas lead to plump, focused fruit flavors. It's both appealing and quite varietally correct. For those looking for a quality value Merlot, look no further.",89,15.0
2790,Columbia Crest,"Aromas of plum and blue fruit are accented by high-toned spices and milk chocolate. Flavors are soft, palate coating and poised, with blue-fruit flavors lingering on the finish. It doesn't necessarily taste like Merlot but still brings plenty of appeal.",88,15.0
2791,Columbia Crest,"The aromas leap out of the glass, with notes of freshly peeled tangerine, white flowers, jasmine and honeysuckle. It drinks quite sweet but manages to stay in balance. It's a delicious example of this variety. Enjoy it for dessert.",88,30.0
2792,Casa Santos Lima,"This wine swings between structure and ripe fruitiness. With a dense tannic background, the foreground has jammy, black fruits and a rich character. Not a wine for long aging, it's attractive now and ready to drink from 2016.",88,12.0
2793,Foxen,"The most forward and drinkable of Foxen's many new 2011 Pinot Noirs. It's soft and juicy with raspberries and cherry flavors, plus subtleties of cola, sautéed wild mushrooms and sweet, toasty sandalwood. A pretty wine that's perfect with lamb.",89,48.0
2794,Foxen,"Tightly wound now, with firm acids and tannins providing a good structure. There's a solid core of cherries and currants, but it's obscured. Needs time. Give it 4–5 years in a proper cellar.",89,62.0
2795,Gary Farrell,"The vineyard is near Sebastopol and the Green Valley, and the wine shows its cool-climate origins in the brisk terroir that gives the raspberry, sweet red cherry and persimmon fruit such bite. It's enormously attractive to drink now for sheer lusciousness, but has the integrity to age for 10–15 years, perhaps longer, depending on your taste for older Pinot.",92,55.0
2796,Williams Selyem,"This fresh, softly mellow and creamy wine is utterly captivating with bright summer red-berry and tree-fruit, vanilla, cherry liqueur, brown sugar and toast flavors. Absolutely delicious now, it is a silky feast for the senses and should easily negotiate the next 8–10 years.",92,75.0
2797,Williams Selyem,"This is a pretty Pinot that's light and silky on the palate, and comforting in its moderate alcohol and spicy, exotic flavors. It offers waves of wild forest berry pie, baking spice, sweet-and-sour persimmon and sandalwood flavors that are intriguingly complex. Absolutely delightful now.",92,49.0
2798,Undurraga,"This Casablanca SB opens with crisp, dry, capped aromas of ocean foam, citrus and green herbs. It's true to form in the mouth, with nice acidity and citrusy zest. Flavors of citrus and green herbs are focused but pithy, while the finish is fresh, crisp and tastes of lime and thyme.",89,20.0
2799,Iron Horse,"Grilled mushroom and a gamy note define this wine, from the highest point of the winery's estate. It's velvety thick, smoky, concentrated and forested in flavor, with strong accents of dried herb.",88,85.0
2800,Williams Selyem,"Bright melon, lemongrass, kaffir lime and Anjou pear aromas show on the very citrusy nose of this low-alcohol, high-residual-sugar bottling. The viscous sip is expectedly sweet, with lime0-mousse flavors and a decent acidity that cuts through the palate.",88,40.0
2801,Bründlmayer,"The pale salmon color and dry palate are the chief attractions of this light-bodied, dry wine. Berry fruit is subdued but enlivened by citrus and notes of white pepper. It's very fresh and refreshing. Drink as soon as possible.",87,10.0
2802,V. Sattui,"A density of honey and caramel washes over this vineyard-designate, a concentrated and viscous expression of the variety. Layered in light waves of lemon, it finishes with a bite of ripe yellow apple and more of that caramel.",89,38.0
2803,Louis Jadot,"With a toasty character, this is a classic of its kind, with ripe fruit and an attractive slice of lemon. A mineral edge to this spicy wine gives a fresh texture at the end. It should age a few months, so drink from 2016.",89,28.0
2804,Columbia Crest,"Les Chevaux blends 48% Merlot, 46% Cabernet Sauvignon, 4% Cabernet Franc and 2% Syrah, yielding a wine that is smooth, supple, and complete. It has both roundness and depth, and a lovely melding of cherry, chocolate and tobacco.",90,15.0
2805,Testarossa,"So delicious, so dazzlingly seductive, it's impossible not to fall in love with this wine. It detonates on the palate with an explosion of cherries and raspberries, and wonderfully smoky, buttery complexities from oak. Drily crisp and finely structured in smooth, dense tannins, it offers great pleasure now, and should develop over the next 6–8 years. Production was low, but it's worth a search.",95,56.0
2806,Chateau Ste. Michelle,"The aromas pop, with notes of brown sugar, dried pear and honey. The palate is incredibly rich and intense but with high-wire acidity that keeps all of the flavors in vivid focus. The sense of balance is exquisite.",92,40.0
2807,Jean-Luc and Paul Aegerter,"A ripe wine reflecting the richness of the vintage, this is full of light mineral notes backed by generous white fruit. Creamed apple and plum flavors dominate, lifted by lasting crisp acidity. Drink from late 2017.",89,27.0
2808,Wines & Winemakers,"This ripe, juicy wine is full of rich tannins that are seamlessly integrated into its generous black fruit. It shows spice from wood aging, jammy fruitiness and balanced acidity. Ready to drink now for its delicious fruit, it will continue to develop until 2024.",89,18.0
2809,Wines & Winemakers,"Crisp lemon and green apple flavors shine through this lively, fruity wine. It has a cool character, tangy fruitiness and a touch of pepper. The wine is made to drink in its youth and is ready now.",89,14.0
2810,Fess Parker,"A lovely Pinot Noir for drinking now. Could be a bit more intense, and finishes rather quickly, but in between is a nice, dry, silky wine, with soft, intricate cherry, cola, spice and sandalwood flavors.",87,55.0
2811,Kunde,"Juicy in dusty berry cobbler flavor, layered with a touch of spicy dark chocolate, this is a medium-bodied, approachable wine with well-integrated oak and supple tannin. Blackberry and coffee mingle on the finish.",88,22.0
2812,Wines & Winemakers,"Firm, with a mineral texture that reflects the tough terrain of the Douro, this wine is also full of fine red fruits and acidity. It has young tannins as well as oak flavors that give the wine a dry core. Drink this firm wine from 2018.",88,18.0
2813,Siduri,"Deep purple fruits, black sage, big cherry and woody spices arise from this wine by Adam Lee, who recently sold to Jackson Family Wines but will remain in charge. The palate shows crushed clove and allspice, licorice, graphite and more dark fruit flavors.",90,33.0
2814,Bründlmayer,"This has a fleshy core of red cherry fruit and a prominent acidic backbone, making this a satisfying, food-friendly wine.",85,
2815,Concha y Toro,"Resiny oak on top of tropical fruit, apple and melon aromas announce plenty of barrel influence. The mouthfeel is plump and offers just enough acidity to balance out the wine's high oak level. Flavors of spiced apple and melon finish woody.",85,18.0
2816,Trapiche,"Piercing aromas of char and creosote are like a laser pop surrounded by a note of blackberry. This is raw, tannic and hard on the palate. Chunky berry flavors are heavily oaked, while this is jammy in feel and tastes of blueberry on the finish. Drink through 2021.",90,55.0
2817,Louis Jadot,"Attractive ripe and creamy, this has soft acidity along with apple and pineapple flavors. It is smooth with a fresh character that gives a lift at the end.",86,15.0
2818,Williams Selyem,"This is a rare premier release from the winery's new vineyard. It's a blend of different clones, and only 47 cases were produced. The wine is very exotic. It shows tiers of raspberries and cherries, but also more feral notes, of dried meats or leather, mushrooms, tart balsam, tangy minerals and scads of dusty, sweet Indian spices. Tannic and dry, it should unfold slowly over the next 10 years.",94,68.0
2819,Fess Parker,"Sour cherry, cranberry, iron, dust and a touch of game appear on the nose of this always-reliable appellation blend from the late actor's family winery, which is still run by his descendants. The flavors are mellow in presentation, with cranberry, fennel and a touch of Early Grey tea.",88,30.0
2820,Lynmar,"This darkly-colored wine is a little on the heavy, fruity side for a rosé. But it's fantastically delicious, offering waves of berries, cola and spices. The acidity is refreshingly high. You can drink this instead of a red wine with lighter meats, such as lamb or pork.",90,25.0
2821,Testarossa,"From a historic vineyard planted in 1971, this bottling show savory and dark notes of strawberry, raspberry, licorice, slate, sage and a touch of oak smoke. The palate boasts earthy structure and vibrant acidity, with flavors of slightly bitter cherry fruit, beet juice and bay leaf.",93,64.0
2822,Lynmar,"A bold, chewy expression of the variety, Summit exhibits its 15% whole-cluster fermentation. It also is given more oak, a chance to tame its wild black cherry and lush cola spice. Black tea and a trace of red fruit play into the personality of the wine, adding a brightness to what is otherwise a decadent, full-throttle wine, barely tamed at that. Drink now through 2023.",93,70.0
2823,Lynmar,"From a vineyard off of Lakeville Highway in the heart of the Petaluma Gap, drilled by winds, this is a concentrated, thick-skinned wine, dark and oaky. A fistful of earthy mushroom, herb and forest surrounds a foundation of blueberry compote and cola, the acidity high and well mannered. Drink now through 2023.",93,70.0
2824,Montes,"Subtle, alluring aromas of earth, cola, eucalyptus, fallen leaves, black cherry and cassis properly announce this saturated, well-balanced Cabernet Sauvignon-led blend. Dark, toasty, baked flavors of blackberry come with vanilla, herb and tobacco accents. The finish feels great while tasting integrated and complex. Drink through 2024.",93,90.0
2825,Robert Mondavi,"From the winery's historic To Kalon Vineyard in Oakville, one of few sites in the state to nurture old-vine Sauvignon Blanc, this wine is complex and compelling. It balances between green olive, basil, thyme and crisp squeezes of lemon. Subtle in oak, it maintains buoyant acidity throughout.",93,50.0
2826,Testarossa,"Testarossa's annual best-barrel offering starts with broad aromas of violets, blackberry tea and anise on the edges. It's a lighter Pinot density-wise, very soft and expressive with purple fruits, black olive and a fennel-powered acidify on the finish.",90,81.0
2827,Chateau Ste. Michelle,"The luscious fruit mix starts with a suggestion of marmalade, then adds plum and cherry. It gains complexity with streaks of graphite, black olive and smoke, polished, lightly earthy tannins and plenty of power through the finish. An interesting, somewhat unusual style of Ethos.",91,38.0
2828,Testarossa,"Smells of rust, iron, tomato and untracked peppercorns rise to the nose. On the palate, the wine is quite light and racy, with a little boysenberry and more sanguine flavors. Hold onto this one until 2016 for maximum enjoyment, as more flavors will emerge.",88,61.0
2829,Trapiche,"This is lightly perfumed with green melon, lychee and papaya aromas. The palate is middle of the road in terms of acidity and snap. Flavors of lychee, peach and nectarine are typical of the variety, while the finish is plump and smooth.",88,18.0
2830,Siduri,"A delicate, almost fragile wine, this opens with tart fruit flavors of strawberry and red plum. There's more than enough acidity, smooth tannins, and a graceful flow to the wine, ending with a light dusting of cocoa.",88,42.0
2831,Casa Santos Lima,"Blending Chardonnay and Viognier with local grapes, the wine is smooth and creamy. It has apple and bright citrus flavors with a cool, crisp backdrop of acidity. The aftertaste, with its tangy, salty character is a reminder of the ocean climate of the region.",86,10.0
2832,Foxen,"This savory young wine has forward flavors of pineapples, Meyer lemons and green apple sauce. However, there's a brisk, underlying minerality and great acidity, making the wine seem exceptionally clean. Try pairing it with broiled or fried chicken and cole slaw.",87,28.0
2833,Foxen,"Lots of ripe, luscious raspberry, cherry and mocha fruit in this Cabernet. It has good acidity and some fine tannins. One drawback is the finish, which is rich in brown sugar and glycerine, with high alcohol. Drink up.",87,42.0
2834,Chateau Ste. Michelle,"The aromas are vibrant, with notes of pear, honeysuckle and peach. The palate is full flavored, dry as promised, with a zing of tart acidity that stitches it all together. It's an outstanding value that shows a beautiful sense of balance.",89,9.0
2835,Kendall-Jackson,"Held back probably to tame fierce acidity, and it's still a young, lean, tart wine. Fresh, juicy flavors of lemons drink very clean and vibrant, but it's austere stuff. Try with goat cheese on toast.",88,22.0
2836,Kendall-Jackson,"Offers a smooth, creamy mouthfeel and a red plum-fruit core, with caramel and tobacco accents. Aromas are of figs and Indian spices; one reviewer found the fruit a bit candied. This is a very good Cab, drinkable in the near term, though not one that necessarily merits such a lofty price tag. Finishes with bitter chocolate.",88,100.0
2837,Louis Jadot,"With spice and wood right up front, this wine is toasty and rich. It has a creamy texture along with bright acidity and a generous body. The wine, with its smooth, ripe aftertaste, is of course young. Drink from 2017.",91,82.0
2838,Louis Latour,"While this wine has roundness and a ripe, rich character, it is also fresh, aromatic and cut with intense acidity. A touch of honey gives a softer, almost sweeter edge to this otherwise crisp wine. It is still bringing the fruit and the mineral texture together, so drink from 2018.",91,
2839,Louis Latour,"Rich and full in the mouth, this wine has a ripe, yellow fruit and honeyed character. This contrasts with the fragrant acidity and the steely edge that cuts the ripeness. It's a wine that demands aging, so drink from 2018.",91,
2840,Bründlmayer,"The shy nose gives away a flinty hint of reduction. The palate has a juicier, easier quality where green pear, slightly earthy yeast and fresh citrus are drawn together. The body is light, fresh and very invigorating. With a little air, more aromas awake and present notions of Conference pear and yeasty saltiness.",91,31.0
2841,Columbia Crest,"The aromas in this wine pop, with notes of dried herb, plum, vanilla and smoked meat. It brings a compelling sense of texture, coating the palate from end to end with exquisitely balanced fruit and savory flavors. It's a knockout at this price.",91,12.0
2842,Columbia Crest,"For lovers of lush, buttery Chardonnay, this is the one to seek out. Generously toasty barrel flavors complement spicy pineapple fruit. It's forward, full-bodied and ready to drink now.",88,12.0
2843,Iron Horse,"The blend is Pinot Noir and Chardonnay. The Brut X designation refers to the winery's driest sparkler, but the wine retains plenty of sweet, ripe strawberries, raspberries, limes, vanilla and honey. It's very good, but a minor critique is a certain roughness of texture. Drink now.",88,50.0
2844,Chateau Ste. Michelle,"This is a crisp, clean and nicely-structured Chardonnay, fermented in a mix of new and neutral oak, along with some stainless steel. A bit beer-like and yeasty at first, it opens into pleasing flavors of grapefruit and pineapple, with just the right amount of acidity.",88,11.0
2845,Columbia Crest,"Fermented in concrete, then aged on lees for five months, this is a pretty expression of Chardonnay with popcorn butter, cream and white peach leading to a tart finish.",88,20.0
